                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.80618,                0.50818,                 1.0426,                 0.7677,                0.64087,                 0.7251,                0.46317,                 1.4118,                 1.1273,                 1.5653,              0.0007328,              0.0007328,              0.0007328
                     67,                0.80167,                0.50724,                 1.0441,                0.84064,                0.62229,                0.73605,                0.47361,                  1.398,                 1.0656,                 1.5461,               0.000713,               0.000713,               0.000713
                     68,                0.77718,                0.49871,                 1.0278,                0.81327,                0.60372,                0.72593,                0.45694,                 1.3805,                  1.163,                 1.5505,              0.0006932,              0.0006932,              0.0006932
                     69,                0.78429,                 0.4968,                 1.0393,                0.77333,                0.64087,                 0.7192,                0.45811,                 1.4016,                 1.2041,                 1.5542,              0.0006734,              0.0006734,              0.0006734
                     70,                0.78168,                0.49562,                 1.0305,                0.79821,                0.65635,                0.74052,                0.45967,                 1.4422,                 1.1562,                 1.5985,              0.0006536,              0.0006536,              0.0006536
                     71,                0.77173,                0.48894,                 1.0294,                0.80671,                 0.6161,                0.72324,                0.45394,                 1.4372,                 1.1938,                 1.5909,              0.0006338,              0.0006338,              0.0006338
                     72,                0.75879,                0.47644,                 1.0169,                 0.8189,                0.60991,                 0.7223,                0.45579,                   1.42,                 1.2416,                  1.582,               0.000614,               0.000614,               0.000614
                     73,                0.76235,                0.47121,                 1.0148,                0.77708,                0.64754,                0.71773,                0.44647,                 1.4629,                 1.2563,                 1.6433,              0.0005942,              0.0005942,              0.0005942
                     74,                0.74596,                0.45977,                 1.0113,                0.80918,                0.63016,                0.74138,                0.45812,                 1.4135,                 1.2015,                  1.569,              0.0005744,              0.0005744,              0.0005744
                     75,                0.74013,                0.45858,                 1.0111,                0.82053,                0.64087,                0.74559,                0.46865,                 1.4301,                  1.152,                 1.6007,              0.0005546,              0.0005546,              0.0005546
                     76,                0.74153,                0.45628,                 1.0159,                0.87358,                0.60062,                0.73455,                0.46262,                 1.4222,                 1.1787,                 1.5683,              0.0005348,              0.0005348,              0.0005348
                     77,                0.72745,                0.45343,                 1.0034,                0.79036,                0.65944,                0.72226,                  0.456,                 1.4391,                 1.1486,                 1.6116,               0.000515,               0.000515,               0.000515
                     78,                0.72509,                0.45992,                 1.0061,                0.82951,                 0.6192,                0.73009,                0.46442,                 1.3903,                 1.1202,                 1.5536,              0.0004952,              0.0004952,              0.0004952
                     79,                0.70999,                0.44749,                 1.0049,                0.77784,                0.67492,                0.73639,                0.46569,                 1.4222,                 1.1366,                 1.5838,              0.0004754,              0.0004754,              0.0004754
                     80,                0.70188,                0.43872,                 0.9949,                0.82471,                0.63467,                0.74023,                0.46281,                  1.439,                 1.1417,                 1.6088,              0.0004556,              0.0004556,              0.0004556
                     81,                0.71183,                0.44435,                 1.0039,                0.81354,                0.66189,                0.74639,                0.46949,                   1.43,                 1.1627,                 1.5993,              0.0004358,              0.0004358,              0.0004358
                     82,                0.70472,                0.43657,                 0.9982,                0.79066,                0.64396,                0.74147,                0.46735,                 1.3954,                 1.2289,                 1.5639,               0.000416,               0.000416,               0.000416
                     83,                0.70176,                0.44064,                0.99614,                0.81495,                0.65635,                0.73823,                 0.4613,                 1.4133,                 1.1884,                 1.5788,              0.0003962,              0.0003962,              0.0003962
                     84,                0.68732,                0.42599,                0.99193,                0.81054,                0.64903,                0.73209,                 0.4665,                 1.3617,                 1.2274,                 1.5459,              0.0003764,              0.0003764,              0.0003764
                     85,                0.68139,                0.42587,                0.98463,                0.84856,                0.64706,                0.74857,                 0.4787,                 1.4087,                 1.1443,                 1.5945,              0.0003566,              0.0003566,              0.0003566
                     86,                0.67444,                0.42816,                0.98279,                0.80467,                0.62495,                0.72839,                0.46216,                 1.4098,                 1.2174,                 1.5735,              0.0003368,              0.0003368,              0.0003368
                     87,                0.67564,                0.41983,                0.98552,                 0.7594,                0.65472,                0.72999,                0.46433,                 1.4049,                 1.1917,                 1.5678,               0.000317,               0.000317,               0.000317
                     88,                 0.6666,                0.41852,                0.98086,                0.75932,                0.66418,                0.72725,                0.45709,                 1.3898,                 1.1703,                 1.5576,              0.0002972,              0.0002972,              0.0002972
                     89,                0.66166,                0.41917,                 0.9777,                0.76827,                0.66563,                 0.7221,                0.46096,                 1.3814,                 1.2233,                 1.5568,              0.0002774,              0.0002774,              0.0002774
                     90,                0.66485,                0.41484,                0.97874,                0.74852,                0.66349,                0.71889,                0.45786,                 1.4256,                 1.1893,                 1.6081,              0.0002576,              0.0002576,              0.0002576
                     91,                0.61025,                0.33494,                0.92596,                0.77163,                0.66563,                 0.7418,                0.47467,                 1.4314,                 1.1724,                  1.638,              0.0002378,              0.0002378,              0.0002378
                     92,                0.58526,                 0.3082,                0.91133,                0.79708,                0.64455,                  0.743,                0.48397,                 1.4172,                 1.1886,                 1.6195,               0.000218,               0.000218,               0.000218
                     93,                0.57237,                 0.3031,                0.90777,                0.84686,                0.60372,                0.73296,                0.46409,                 1.4322,                 1.1965,                 1.6446,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.5682,                0.30055,                0.90681,                0.78919,                0.63747,                0.73345,                0.47374,                 1.4305,                 1.1974,                 1.6425,              0.0001784,              0.0001784,              0.0001784
                     95,                0.55001,                0.28825,                 0.8997,                0.76057,                0.63158,                0.73058,                0.46729,                 1.4416,                 1.2343,                 1.6552,              0.0001586,              0.0001586,              0.0001586
                     96,                0.54972,                0.29287,                0.90267,                0.85551,                0.59752,                0.74223,                0.48434,                 1.4219,                 1.1832,                 1.6214,              0.0001388,              0.0001388,              0.0001388
                     97,                0.54194,                0.28933,                0.89397,                0.85727,                0.59506,                0.74549,                0.48156,                 1.3988,                 1.1925,                 1.5994,               0.000119,               0.000119,               0.000119
                     98,                0.52742,                 0.2814,                0.88787,                0.77624,                0.63777,                0.74207,                0.48215,                 1.3998,                 1.2075,                 1.6167,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.52667,                0.28011,                0.88487,                 0.7983,                0.63158,                0.74484,                0.48396,                 1.3906,                 1.2006,                 1.5959,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                  0.528,                0.28346,                 0.8851,                0.76255,                0.64626,                0.74901,                0.48722,                 1.3873,                 1.2013,                 1.5931,               5.96e-05,               5.96e-05,               5.96e-05
